column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,-0.230576,0.162926,1.22218,-0.208293,1.02723
feVelocity_m_s_Y,0.198115,0.146937,1.16883,0.15387,0.93588
feVelocity_m_s_Z,-0.00211541,0.0693251,0.58826,-1714.25,600422
altitudeMsl_m,0.103433,0.067321,0.197719,0.00338907,0.00648149
longitude_rad,7.47288e-08,2.36774e-07,6.36589e-07,5.66624e-06,4.8253e-05
latitude_rad,9.65124e-07,3.17161e-07,1.35758e-06,0.000153369,0.000215582
localGravity_m_s2,-8.90285e-05,1.90143e-05,0.00012262,-0.000907418,0.00124979
eulerAngle_rad_Yaw,0.00179087,0.0057654,0.0509995,0.215738,5.7064
eulerAngle_rad_Pitch,-0.000155932,0.000606171,0.00560561,-0.330848,12.429
eulerAngle_rad_Roll,0.00329803,0.019694,0.248373,37.5614,154.705
bodyAngularRateWrtEi_rad_s_Roll,0.000445815,0.17866,2.71545,-402.501,140513
bodyAngularRateWrtEi_rad_s_Pitch,-0.000107815,0.0114781,0.11677,-12.1553,5161.42
bodyAngularRateWrtEi_rad_s_Yaw,7.77922e-05,0.021135,0.205395,93.7171,4984.7
altitudeRateWrtMsl_m_s,0.00211541,0.0693251,0.58826,1711.33,598672
speedOfSound_m_s,-0.000103974,0.000267495,0.00102514,-3.16632e-05,0.000312178
airDensity_kg_m3,-1.23089e-05,6.25964e-06,2.10738e-05,-0.00136098,0.00232977
ambientPressure_Pa,-0.994041,0.596536,1.82977,-0.00142699,0.00262624
ambientTemperature_K,-0.00063691,0.000437158,0.00124922,-0.000237368,0.000465553
aero_bodyForce_N_X,-23.7015,393.538,4939.73,-0.643989,80.5857
aero_bodyForce_N_Y,-113.084,5268.77,60668.6,-199.303,96325.4
aero_bodyForce_N_Z,-46.1656,5272.06,52718.2,-0.448844,156.429
aero_bodyMoment_Nm_L,-19.4103,28589.5,415879,1.36669e+07,8.2137e+09
aero_bodyMoment_Nm_M,22.8947,4582.77,60084,0.534928,154.976
aero_bodyMoment_Nm_N,246.171,13929.9,196096,-74.8458,2985.99
mach,-1.61694e-06,1.74968e-05,0.000185093,-0.000307888,0.0352703
trueAirspeed_m_s,-0.000585193,0.00570004,0.0609567,-0.000339327,0.0353726
